【P1】bigram 的计数方法和神经网络方法为什么说是等价的？	"one-hot 接单层线性再过 softmax，就是把计数法改写成可微分的条件概率表，两者学到同一个分布。
one-hot 向量乘 $W$ 等价于按索引取行，softmax 把每一行变成该字符下一位的条件分布。课程实测：计数法平均 NLL 约 2.45，神经网络训练后收敛到约 2.49（实测 2.4901），差距只来自随机初始化和有限步优化；参数 $27 \times 27 = 729$ 个，恰好一一对应 729 个 bigram 计数。
等价性只在""单层线性 + softmax""这一结构下成立，一旦加隐藏层（Part 2 的 MLP）就进入了不同的函数族。"	P1::interview
【P1】为什么损失函数要取负对数，而不是直接最大化概率？	"log 把概率连乘变成求和、防止数值下溢，负号把""最大化似然""翻转成习惯上的""最小化损失""。
整个数据集的似然是成千上万个小于 1 的概率相乘，会下溢成 0；取 log 后变成稳定可加的 $-\frac{1}{N}\sum \log P$。均匀猜测的基线是 $\log 27 \approx 3.296$，bigram 模型实测约 2.45，越小越好；换底成 $\log_2$ 后直接对应""每个字符平均需要多少 bit 编码""。
$\log 0 = -\infty$，遇到训练集未出现的 bigram 会直接爆炸，必须配合平滑。"	P1::interview
【P1】概率归一化时最容易踩的 broadcasting 陷阱是什么？	"`(27, 27)` 的矩阵除以 `counts.sum(1)` 时若不加 `keepdims=True`，会沿错误的方向广播。
PyTorch 从末维对齐形状，`(27, 27)` 遇到 `(27,)` 会被当作 `(1, 27)`，结果变成每列和为 1，而不是想要的行为 1；正确写法是 `counts / counts.sum(1, keepdims=True)`。
这个 bug 不报错、loss 照样能下降，只有采样质量悄悄变差，必须用逐行 `P.sum(1)` 验证。"	P1::interview
【P1】loss 降到 2.45，生成的名字就一定像样了吗？	"不一定，2.45 只是 bigram 这类模型的极限，生成质量本质上受""只能看 1 个字符上下文""的限制。
课程实测 bigram 平均 NLL 约 2.45，但采样仍产出大量伪词；把上下文扩到 3 个字符后（Part 2 MLP），dev loss 降到约 2.2，名字明显更像样。采样本身是从 $P$ 的行分布做多项式抽样，固定 `seed=2147483647` 才能复现。
loss 衡量分布匹配程度，与人类观感不完全一致，评估要两者结合。"	P1::interview
【P1】对 W 加 L2 正则化，对应计数方法里的什么操作？	"对应 Laplace 平滑（模型平滑），两者都是把分布""往均匀拉""的软约束。
课程在 loss 中加 $0.01 \times (W^2).mean()$，压着 $W$ 趋向 0、logits 趋向 0、softmax 输出趋向均匀，与 $P = (N+1)/(N+27)$ 的平滑方向一致；教程特意用 `mean()` 而非 `sum()`，让正则项与 NLL 量纲匹配。
平滑强度是超参数，太弱挡不住 $\log 0$，太强会把模型压向均匀分布的 $\log 27 \approx 3.296$。"	P1::interview
【P2】`C[X]` 这种 embedding 写法到底在做什么？	"在做查表——`C` 是 `(27, n_embd)` 的可学习矩阵，`C[X]` 按整数索引取出对应行。
它和 one-hot 乘 `C` 数学等价，但不用构造 `(N, 27)` 的稠密 one-hot 张量，省内存省计算；输出 `(N, block_size, n_embd)` 再 `view` 拼平送进 MLP。课程建议把 `n_embd` 设为 2 画散点图，可以直接观察元音等字符在 embedding 空间聚簇。
`n_embd` 是容量旋钮，课程调参表里 `n_embd` 10→20、`n_hidden` 200→300 才把 dev loss 从约 2.3 压到约 2.2，加大 embedding 不是免费的。"	P2::interview
【P2】为什么数据要切 train / dev / test 三份？	"train 负责拟合、dev 负责选模型、test 只在最终碰一次，防止拿""考卷""调参。
课程按 80/10/10 划分，先 `random.seed(42)` 打乱再切，保证可复现；健康状态是 train loss 约 2.1、dev loss 约 2.2 的小差距，说明模型学到的是可迁移规律。所有超参（`n_embd`、`block_size`、学习率）都只依据 dev 选。
反复对着 dev 调参，dev 也会被间接""过拟合""，test 集只能用于一次性的最终报告。"	P2::interview
【P2】训练前为什么要做初始 loss 的 sanity check？	"理想初始 loss 应约等于 $\ln 27 \approx 3.296$，即对 27 个类均匀瞎猜的水平，明显偏离说明初始化有问题。
输出层用 randn 初始化时 logits 又大又不均衡，softmax 一上来就""过度自信""，本课实测：Part 2 的 randn 初始化初始 loss ≈19.5，Part 3 教程记录 3.7~4.0（浅层结构）、极端结构超过 20；把 `W2` 缩到 0.01 倍、`b2` 置零即可压回约 3.29。
它只校准输出层置信度，隐藏层的方差问题要另做激活/饱和度诊断，且初始 loss 正常不代表训练必然收敛。"	P2::interview
【P2】怎么从 train / dev loss 判断欠拟合还是过拟合？	"先看 train loss 高不高（欠拟合），再看 dev 与 train 的差距大不大（过拟合）。
课程给出三档对照：train 2.5 / dev 2.6 双高是欠拟合，应加大模型；train 2.1 / dev 2.2 是健康；train 1.5 / dev 2.5 差距拉大是过拟合，应加数据或正则。课程调参表把 `block_size` 3→5 后 dev loss 从约 2.3 降到约 2.1，就是修欠拟合的典型操作。
差距的解读依赖数据规模，小数据集上轻微差距属正常，不能一刀切。"	P2::interview
【P2】block_size（上下文长度）应该如何权衡？	"它是""看得越远、学得越好，但输入维度和计算线性变贵""的旋钮。
`block_size=1` 时模型退化为 Part 1 的 bigram 网络；课程调参表中 `block_size` 3→5（`n_embd=10, n_hidden=200` 不变）使 dev loss 约 2.3→约 2.1。代价是拼接后的输入维度按 $block\_size \times n\_embd$ 线性增长。
收益递减，扩到 10 未必继续降 loss，还可能引入更多无关上下文，一切以 dev 曲线为准。"	P2::interview
